,sg,bw,cleaned
SP2206,2.1206629810448154,1.4974736885810997,2.701018251209674
HS2601,2.3218365607579776,2.309516412128983,3.8702823477511172
FF1107,2.669234005144433,2.537211195716073,2.7187049735389426
HL1301,2.1226454350352926,2.3984355346515795,3.2115427430039603
GC2408,2.2064266584245207,2.176753849141134,4.067754508220714
LB0303,3.2010516399134263,3.03231936664861,4.489330588038789
SE1208,2.141148399721919,2.330896144278286,2.9657157953685465
LA1404,2.194477350679572,2.1036831139039034,2.828146823476893
KA1406,1.750168122634335,1.7583436926634042,2.958990843494172
WM0403,2.512295311972074,2.629901116895721,3.0796597625667776
JP1906,1.8250815633426356,1.8507307434555056,1.9398901737192245
SJ1006,1.8486616086590641,1.7437773535278998,3.02620598386783
ST0412,2.679876052525388,2.6810481610626935,3.394333273000902
RJ1612,1.554198102957164,1.963098775510884,2.1991122472352513
SL2009,4.307781015495286,4.4575152940330796,5.4501490628752
AA0509,2.6667114982046756,2.6938446430415555,3.107428278483273
IV2507,1.8260349671327458,1.8392028477934277,3.3175253731989276
PS2810,1.6889603362394299,1.790866718297433,2.2955851614408926
VK3004,1.8630627649404,1.9427092783808424,2.5374235451401392
SF2004,3.7628073626907796,3.746956004490797,5.111150621787256
EF0410,3.566660867244204,3.556652279367767,4.849360645934339
FJ1809,1.4390984990781306,1.5325256345668918,3.290565128991812
AL1606,1.7830179155687909,1.7012926065487406,3.021008672044941
FY2803,2.0850766716823346,2.0712335254757095,3.5620925082523436
BC0611,1.653161959167217,1.823239496181938,5.264704228326581
MJP1611,4.3657370586456254,4.391754389546899,5.003976492279709
ZM311,2.9925465105114957,2.937494538725981,4.0936136929887414
BE1110,2.744671385085171,2.944788063312233,3.6984614763208072
WB2110,2.558532180461896,2.6885422482187455,3.627993024887022
HA2610,2.331995885023308,2.2505839635428417,2.6553362393701927
WV0510,2.480806301494455,2.549573916704477,3.175527725539526
KL1507,2.92504864111362,2.89295542247484,3.40426501581432
SC2404,1.2140694091068738,1.3478635901173261,1.9148731240324797
HJ1011,2.2766934910156476,2.2410864529140118,3.134263700786772
KT1809,2.988713471965239,2.9760657232791656,3.8757285877950576
SJ0507,3.0465901478502153,3.5131206722397126,3.502306764782516
PE1605,2.141474598888971,2.267120117445391,3.1971819342645853
