,sg,bw,cleaned
SP2206,47.12411656999191,46.8954326953847,46.80192664086296
HS2601,42.696035296965796,42.5943917327146,42.60545947631117
FF1107,48.71585509336065,48.80378373305885,48.13173848060467
HL1301,52.33468480306813,52.848415257559736,52.12625487020694
GC2408,52.73939971460243,53.00244834793084,53.61854739737711
LB0303,52.6242043618817,52.88279711418015,53.002201473850235
SE1208,57.714316493504526,58.077943733555294,57.78948526774573
LA1404,46.486096901652886,46.00396607610466,46.548422969050726
KA1406,56.974858326830926,56.96738038746471,57.46266998214728
WM0403,43.598371478489284,43.12266502134277,43.238023320072635
JP1906,53.16779924267217,53.08070108792538,53.14417188891203
SJ1006,51.60716215276331,51.89867685922316,51.67378745024127
ST0412,51.57103194947781,51.57580956414182,51.24376157394384
RJ1612,37.92449926034433,38.06004608253368,37.4528223317636
SL2009,46.84458582243902,47.12723988806486,47.44265638626309
AA0509,46.73453473158338,46.49920079561736,46.89305383690673
IV2507,47.75397824810509,47.7867603419928,47.394836742031515
PS2810,38.489072786562545,38.3692662586235,38.01400127790974
VK3004,47.90638425654333,48.40015645585128,47.842761235883415
SF2004,39.0112598583849,38.84261297448104,38.533694197310055
EF0410,53.10177325885173,51.94867741217348,51.36988447086575
FJ1809,48.03911533366773,51.17986833408995,47.97298792489329
AL1606,46.195855675855135,46.3415318502891,46.17174320404294
FY2803,42.33143978348224,42.92509560860985,42.21436004542677
BC0611,42.37160181142316,42.733678839429984,42.15994186858563
MJP1611,57.514344600721245,56.45642918762867,57.28438173683105
ZM311,47.13506038824716,47.06621728506456,47.120761408726096
BE1110,43.04298187158251,43.23231630693711,43.01471883840742
WB2110,46.88691961262654,46.5617108850027,46.76728195073546
HA2610,48.777397363099794,48.830088228193546,48.439317060079155
WV0510,46.69286697746559,46.545892971192856,46.67397420772918
KL1507,52.61557823365885,52.441604499293476,52.7284867892811
SC2404,51.178836277538736,51.548209191974536,51.17245029694338
HJ1011,51.88529421630116,51.77181436253391,51.629810931519145
KT1809,52.854192503223075,52.832232305498664,52.96943637981754
SJ0507,53.0120247647649,53.26554826781411,52.71948134244759
PE1605,63.29865954434099,63.323667772232675,63.3717662661539
