,sg,bw,cleaned
SP2206,1.8643166304906602,1.8554883181678945,2.4295921768199213
HS2601,2.77700918528518,2.8141163222625174,3.3777944268813096
FF1107,1.963046995925587,1.9204796408446492,2.858101162141345
HL1301,2.2053471309565733,2.142106490152682,3.7529001070861474
GC2408,3.2726551319606836,3.3634242931462186,4.316010138352433
LB0303,2.1245945619603654,1.9702410385191838,3.5089342921238273
SE1208,2.32341365295104,2.2770743885709477,3.1502676523463675
LA1404,2.8917621142997327,2.861758808374406,3.29750914266111
KA1406,2.2170484186267454,2.1684181164295215,3.2154446586830794
WM0403,1.6112490922810543,1.5860578745208818,2.3989991745824484
JP1906,3.7164125044110685,3.7483467954724445,3.9386961538645946
SJ1006,2.9298821904635517,3.172334477131375,3.7038946440341385
ST0412,3.2718892253411958,3.225915876882383,3.813150415990495
RJ1612,2.0385134552088466,2.0325705125883466,2.6340472997935125
SL2009,4.5566384529295965,4.796602261728443,5.539607301964175
AA0509,3.3490109791144587,3.4048415258798697,3.8100056846072095
IV2507,3.023745475804658,3.104092057751184,4.123393596501498
PS2810,2.2869864564940965,2.4028381181176814,2.9109812021205417
VK3004,2.3293459883124807,2.490907579524955,3.155893410335641
SF2004,3.793974723263474,3.7876035668381394,4.927025813533277
EF0410,4.915031700436391,4.976560690754009,5.789077967342841
FJ1809,3.5732238470642725,3.5585112659955196,4.778433981019881
AL1606,2.4763806126345442,2.2213746560409744,3.422499810126154
FY2803,3.9649918714490404,3.8580082324492353,4.974987634604049
BC0611,3.052848728446272,2.9876291605553287,4.682787036894835
MJP1611,4.092074704943226,3.9715713572731604,5.104016057992105
ZM311,2.5642730551647714,2.598039021314635,3.7208120451314075
BE1110,4.684300438541614,4.96993712592608,5.169536291394157
WB2110,4.1761503867366,4.185377353119364,4.8233007035694735
HA2610,1.614818039460396,1.6524262493155848,2.4670188565152342
WV0510,1.9240017605984367,1.9739519720084986,2.8208721803602828
KL1507,2.951297681717737,2.965911280922179,3.3890907914000574
SC2404,2.8561289247149286,2.7947274786899574,3.284078839430445
HJ1011,2.4873056198061896,2.568493326638673,3.244981036490709
KT1809,2.346676326426034,2.4363606079132607,3.358031772040506
SJ0507,2.838842601297632,2.753803116671679,3.7954481393476383
PE1605,2.5002319155001276,2.5936360335442448,3.328060232087361
