,ID,o2_intercept_y,o2_slope_y,vo2_max_abs,body_mass,D,cs,t_100,cmj,mss,speedTT4
0,SE1208,0.4251154277,0.80095700052,4.965747005,77.4,148.0,4.38,13.5,0.34,8.236111111,5.066666666666666
1,LA1404,0.3065906941,0.7060339440000001,4.947695591,63.0,105.0,5.22,13.76,0.33,8.008333333,5.820833333333334
2,KA1406,0.3664038587,0.76994913528,4.802908449,67.6,215.6666667,4.97,11.92,0.45,9.105555556,5.995833333333334
3,WM0403,0.3107071429,0.60285233988,3.258207511,54.8,147.3333333,4.13,14.28,0.29,8.016666667,4.7875
4,JP1906,0.3213234948,0.6623359776000001,4.140702574,66.6,107.3333333,5.25,13.27,0.33,8.413888889,5.970833333333333
5,PE1605,0.3312413684,0.7306822025999999,3.816272606,65.6,145.6666667,4.26,14.84,,7.455033333,4.966666666666667
6,SJ1006,0.3275683195,0.89965030284,5.167573758,77.2,156.3333333,4.55,13.53,0.33,8.355555556,5.470833333333333
7,ST0412,0.2943395913,0.67200105276,3.911054361,56.0,177.6666667,4.56,13.22,0.35,8.277777778,5.354166666666667
8,RJ1612,0.4115383261,0.78905083716,4.785701098,67.0,130.0,4.83,13.69,0.37,8.0,5.5625
9,SL2009,0.4945320623,0.62903638368,4.078273831,61.8,177.6666667,4.64,13.07,,7.575708333,5.566666666666666
10,AA0509,0.2704491503,0.54184868964,2.883257977,51.0,166.0,4.22,14.84,0.23,7.391111111,5.020833333333333
11,IV2507,0.3456553509,0.79039164636,4.311566989,69.8,243.3333333,4.26,12.33,0.38,9.186111111,5.45
12,WV0510,0.3270329706,0.6419923721999999,3.298277081,66.2,120.0,4.11,15.75,0.25,7.012558333,4.679166666666666
13,PS2810,0.30459967920000003,0.7834488069600001,4.837780165,75.2,94.33333333,5.03,13.28,0.31,8.424902778,5.545833333333333
14,AL1606,0.2446147885,0.689276529,4.567253388,69.0,157.0,4.73,13.83,0.32,7.821527778,5.508333333333334
15,SP2206,0.2984262528,0.5240720696400001,3.062792896,52.7,91.0,4.46,14.84,0.26,7.329888889,4.945833333333334
16,HS2601,0.3524083504,0.54584655264,3.001436235,55.2,168.6666667,4.25,14.05,0.27,7.937733333,4.9
17,FF1107,0.3060921495,0.51960724128,2.811310217,46.0,167.3333333,4.14,13.63,0.31,8.246125,4.820833333333334
18,HL1301,0.32822183039999997,0.59706079488,3.165336035,58.1,101.0,4.11,16.83,0.18,6.726513889,4.545833333333333
19,GC2408,0.4055321391,0.6354137692799999,3.328702193,61.2,184.3333333,4.0,13.41,0.34,8.523230556,4.816666666666666
20,LB0303,0.33283406200000004,0.6948440676000001,3.783193292,59.9,244.0,4.21,13.18,0.31,8.965705556,5.020833333333333
21,KL1507,0.3553207141,0.7688537712,4.662504295,69.6,182.3333333,4.7,12.37,0.39,8.934419444,5.529166666666667
22,HJ1011,0.3224671618,0.51053453892,3.280586672,57.6,105.6666667,4.53,15.26,0.27,7.508666667,5.029166666666667
23,SC2404,0.40174439419999997,0.78001459236,4.689838091,74.2,113.6666667,4.75,14.77,0.28,7.513136111,5.266666666666667
24,KT1809,0.3567665223,0.6728070535199999,3.526504181,66.8,155.3333333,4.17,14.97,0.32,7.338827778,4.966666666666667
25,SJ0507,0.2687618224,0.63560242656,3.108390419,58.2,69.66666667,4.2,14.86,0.24,7.691913889,4.370833333333334
26,FJ1809,0.2558669875,0.48526713395999993,2.674688192,49.8,132.0,4.21,15.83,0.22,6.99915,4.791666666666667
27,EF0410,0.3131155583,0.71407208736,4.208002559,58.6,200.6666667,4.42,12.72,0.41,9.005930556,5.291666666666667
28,VK3004,0.29009410989999995,0.60191641764,3.511070356,59.0,146.0,4.34,14.17,0.3,8.058408333,5.033333333333333
29,GS2107,0.3850892113,0.6745773924,4.149074505,63.2,167.3333333,4.71,13.29,0.36,8.362330556,5.508333333333334
30,SF2004,0.4364813827,0.7012803304799999,4.409271625,65.2,97.66666667,5.18,14.46,0.23,7.583333333,5.6875
31,FY2803,0.1860354895,0.7411418978400001,4.427921345,58.8,112.0,5.06,13.0,0.33,8.599211111,5.529166666666667
32,BC0611,0.2700114499,0.5767568298,2.985096259,49.8,111.0,4.29,16.5,0.17,6.668411111,4.754166666666666
33,MM2405,0.4514244431,0.76170892284,4.80049352,68.2,165.6666667,4.86,12.4,0.37,8.961236111,
34,MJP1611,0.3276723786,0.75114300924,4.463246892,69.2,145.3333333,4.85,12.14,,9.394772222,5.629166666666666
35,ZM3103,0.4654185752,0.84685307112,4.692727748,81.8,159.6666667,4.39,12.04,0.38,9.417119444,5.358333333333333
36,BE1110,0.32536220320000003,0.54275987304,3.510341748,50.8,165.3333333,5.11,13.12,0.27,8.5277,5.8
37,WB2110,0.4389082653,0.78639135552,4.649806041,70.6,258.0,4.49,12.26,0.44,9.037216667,5.641666666666667
38,HA2610,0.2164965668,0.79265019384,4.450473349,66.6,99.33333333,4.59,15.48,0.28,7.106416667,5.075
