time,SP2206,HS2601,FF1107,HL1301,GC2408,LB0303,SE1208,LA1404,KA1406,WM0403,JP1906,SJ1006,ST0412,RJ1612,SL2009,AA0509,IV2507,PS2810,VK3004,SF2004,EF0410,FJ1809,AL1606,FY2803,BC0611,MJP1611,ZM311,BE1110,WB2110,HA2610,WV0510,KL1507,SC2404,HJ1011,KT1809,SJ0507,PE1605,,,,,
00:10,,,0.2838,0.4576,0.5525,,,0.4760,0.4434,,,,,,,0.2978,,,0.4400,,,,,,0.2804,,1.0633,,0.4525,,,0.5052,,,,,0.2920,,,,,
00:15,0.2229,0.7534,0.2634,0.3973,0.4096,,,0.4870,0.1652,0.6239,0.7265,0.6447,0.3881,0.5872,0.4466,0.3668,0.7831,0.7287,0.4100,0.8304,0.4525,0.2981,,0.2718,0.2804,,0.4967,0.2600,1.0723,,0.4100,0.3362,0.4922,0.1564,0.6096,0.3304,0.4477,,,,,
00:20,0.3048,0.4161,0.3817,0.3574,0.5690,0.4916,,0.5282,0.5146,0.3336,0.7234,0.5181,0.3340,0.5888,0.6915,0.2681,0.4938,0.4864,0.4600,0.3524,0.4525,0.3554,0.2464,0.2718,0.1017,0.1700,0.4237,0.5000,0.8859,,0.4200,0.4192,0.6835,0.1934,0.5582,0.4273,0.3308,,,,,
00:25,0.3150,0.5138,0.3700,0.4220,0.4557,0.4083,,0.3058,1.1328,0.4298,0.7594,0.4048,0.3455,0.5888,0.3018,0.2806,0.8246,0.6555,0.3900,0.5610,0.4329,0.4305,0.2464,0.2718,0.3538,0.1700,0.9174,0.3600,0.2701,0.4041,0.4700,0.5042,0.3876,0.3326,0.5029,0.3984,0.3308,,,,,
00:30,0.3483,0.6356,0.3623,0.2511,0.4402,0.2652,,0.3567,0.3735,0.2910,0.8842,0.5212,0.5580,0.4721,0.4117,0.3123,0.6595,0.5660,0.3700,0.7352,0.1798,0.4140,0.3124,0.1767,0.2126,0.1900,0.3659,0.6300,0.4624,0.6804,0.4400,0.4638,0.0961,0.2769,0.3081,0.4987,0.4539,,,,,
00:35,0.3483,0.5717,0.3175,0.3716,0.4333,0.4153,,0.4378,0.5013,0.1545,0.8322,0.4464,0.5615,0.1324,0.6468,0.3268,1.0344,0.5660,0.2800,0.4133,0.1798,0.3520,0.4568,0.1468,0.1920,0.1900,0.4541,0.1100,0.4382,0.3466,0.4800,0.4860,0.5805,0.2938,0.3353,0.3879,0.4539,,,,,
00:40,0.6280,0.5554,0.3503,0.3758,0.7836,0.3842,,0.4477,0.3817,0.2242,0.7205,0.4759,0.4574,0.6152,0.6504,0.3558,0.4783,0.0000,0.1700,0.0703,0.4939,0.3723,0.4015,0.0643,0.3018,0.4200,0.4077,0.3200,0.5505,0.1821,0.3400,0.5734,0.7182,0.3198,0.3670,0.3668,0.2794,,,,,
00:45,0.3851,0.4278,0.3845,0.3367,0.6623,0.2472,,0.3258,0.0000,0.4736,0.6844,0.4859,0.6716,0.6147,0.2872,0.2868,0.5459,0.6056,0.3300,0.8375,0.4939,0.3708,0.4015,0.0643,0.1978,0.6100,0.9215,0.3300,0.8459,0.1821,0.4000,0.4533,0.3417,0.5758,0.4258,0.4129,0.8181,,,,,
00:50,0.2764,0.9293,0.3570,0.4214,0.7043,0.3453,,0.3082,0.0000,0.3919,0.6585,0.4450,0.4411,0.2279,0.2726,0.3229,0.8383,0.6056,0.2600,0.6045,0.1554,0.3231,0.3388,0.2314,0.2932,0.2700,1.0238,0.4000,0.4627,0.4641,0.4200,0.3394,1.0598,0.2525,0.4258,0.3093,0.4142,,,,,
00:55,0.4826,0.7922,0.4979,0.3998,0.7101,0.4169,,0.1943,1.0642,0.3064,0.5925,0.4047,0.4489,0.2652,0.7297,0.3300,0.5256,0.7632,0.4300,0.8296,0.0683,0.3335,0.2691,0.1819,0.4394,0.3900,0.3045,0.1800,0.2594,0.4641,0.4100,0.2514,0.4322,0.3136,0.4579,0.4859,0.5515,,,,,
